Query,Response
B4k!t !p!n4gb4b4w4l ang pag-ov3rt4ke s4 !l4ng m4g4 k4ls4da?,Upang maiwasan ang mga aksidente sa mga kalsada kung saan limitado ang visibility o espasyo.
4n0 ang p!n4p4y4g4n ng put0l-put0l na put!ng l!n3?,Pinapayagan nito ang mga sasakyan na magpalit ng lane o mag-overtake kapag ligtas.
4n0 ang d4p4t m0ng g4w!n k4pag p4p4l4p!t s4 p3destr!4n l4n3?,Magbawas ng bilis at huminto kung may tumatawid na pedestrian.
4n0 ang k4h4l4g4h4n ng rumble 5trips?,Nag-aalerto sila sa mga drayber sa pamamagitan ng panginginig na maaaring nawawalan ng pokus.
4n0 ang !b!g s4bih!n ng d!l4w n4 l!n3 s4 p4rk!ng sp4ces?,Nagpapakita ito ng nakatalagang mga lugar ng paradahan at hindi dapat gamitin para sa matagal na pagparada.
P4an0 m0 m4k!k!l4l4 ang l4n3 p4r4 s4 m4g4 p4mpubl!k0ng s4s4ky4n?,Tingnan ang mga marka sa kalsada na nagsasabing 'PUJ Lane' o 'Bus Lane.'
4n0 ang d4p4t m0ng g4w!n k4pag n4gm4m4neho m4l4p!t sa bus l4n3?,Iwasang magmaneho sa bus lane at bigyang-priyoridad ang mga bus.
B4k!t m4h4l4g4 ang c0nt!nu!ty l!n35?,Binabalaan nila ang mga drayber ng mga paparating na pagsanib ng lane o pagtigil ng lane.
4n0 ang l4y0n!n ng l0ad!ng 4t unl04d!ng b4y l!n3?,Pinapayagan nito ang mga pampublikong sasakyan na ligtas na magsakay at magbaba ng pasahero.
P4an0 n4k4k4tulong ang m4g4 guh!t sa k4ls4d4 sa k4l!gt4san?,"Nagbibigay sila ng malinaw na gabay para sa paggamit ng lane, pagliko, paghinto, at pag-overtake."
B4k!t h!nd! k4 d4p4t m4gp4rk sa fire lane?,Ang mga fire lane ay dapat palaging malaya para sa mga sasakyang pang-emerhensiya tulad ng mga fire truck.
4no ang !b!g s4b!h!n ng !5ang put0l-put0l na put!ng l!n3?,Pinapayagan nito ang mga sasakyan na magpalit ng lane o mag-overtake kapag ligtas.
4no ang !b!g s4b!h!n ng 5ol!dong put!ng l!n3 sa k4lsada?,Ipinapahiwatig nito na hindi pinapayagan ang pagpapalit ng lane o discouraged ito.
B4k!t n!r3-repa!nt ang m4g4 guh!t sa kalsada?,Upang matiyak na nananatili silang nakikita at patuloy na nagbibigay ng gabay para sa ligtas na pagmamaneho.
4n0 ang p4gk4k4!b4 ng put0l-put0l at s0l!d0ng l!n3?,"Ang putol-putol na linya ay pinapayagan ang pag-overtake o pagpapalit ng lane, habang ang solidong linya ay naglilimita nito."
B4k!t m4y !b4’t-!b4ng k0l0r ang m4g4 guh!t sa k4ls4d4?,"Nagbibigay ng espesipikong impormasyon ang iba't ibang kulay; halimbawa, ang dilaw ay naghihiwalay sa direksyon ng trapiko, habang ang puti ay naghihiwalay ng mga lane."
B4k!t m4y mg4 guh!t s4 kalsada p4r4 sa sp33d l!m!t5?,Ang mga guhit na ito ay nagpapaalala sa mga drayber ng bilis na hindi dapat lampasan para sa kaligtasan.
4n0 ang p4ngun4h!ng l4yun!n ng rumble str!p?,Upang alertuhan ang mga inattentive o inaantok na drayber sa pamamagitan ng paglikha ng panginginig.
P4an0 n4gtutulungan ang pedestrian lanes at stop l!n35?,Tinitiyak ng stop line na humihinto ang mga sasakyan sa ligtas na layo mula sa pedestrian lane.
B4k!t d4pat m4g!ng4t ang mga drayber sa markings ng !sla?,Nakakatulong sila sa pag-iwas sa banggaan sa mga hadlang at gumagabay sa ligtas na pagpapalit ng lane.
4n0 ang mg4 p4ng4nib ng h!nd! p4gsunod s4 mga guh!t sa k4ls4d4?,Ang pagwawalang-bahala sa mga guhit ay maaaring magdulot ng aksidente at paglabag sa batas.
Ano ang mg guhit sa kalsda o pavement marking?,Ang mga guhit sa kalsada ay mga linya na ipininta sa kalsada na nagsisilbing gabay para sa mga sasakyan.
Bakit mahalaga ang mga guhit sa kalsada o pavment marking?,"Ginagabayan nila ang mga drayber sa tamang posisyon sa kalsada, na nagtitiyak ng kaligtasan at kaayusan."
Ano ang edge lne?,Ang edge line ay isang makapal na linya sa gilid ng kalsada na naghihiwalay dito mula sa bangketa o gilid.
Bakit nakalaan ang bangketa para sa mg pedestrian?,Ang mga bangketa ay nakalaan para sa mga pedestrian upang matiyak ang kanilang kaligtasan mula sa mga sasakyan.
Ano ang layunin ng curb o gld ng kalsda?,Ang mga curb o gilid ng kalsada ay para sa mga sasakyan na huminto sa oras ng emergency.
Ano ang cnter line?,Ang center line ay naghihiwalay sa direksyon ng trapiko at kadalasang tuloy-tuloy.
Ano ang mangyyari kapag tumawid ang sasakyan sa cnter line?,Ang pagtawid sa center line ay maaaring magdulot ng mapanganib na counter-flow na sitwasyon.
Para saan ang putol-putl na puting linya?,Naghihiwalay ito ng mga lane at nagpapahiwatig na maaaring mag-overtake kapag ligtas.
Ano ang pedestrian lne?,Ang pedestrian lane ay lugar kung saan maaaring ligtas na tumawid ang mga tao sa kalsada.
Ano ang stop lne?,"Ang stop line ay isang solidong puting linya na nangangailangan ng buong paghinto ng mga sasakyan, lalo na kapag may tumatawid na pedestrian."
Bakit ang ilang kalsada ay may dilaw na guhit imbes na pti?,Ang mga dilaw na guhit ay madalas makita sa mga highway kung saan bihira ang mga pedestrian.
Ano ang ibig sbihin ng doble solidong dilaw o putng linya?,Ipinagbabawal ang pag-overtake at pagtawid.
Ano ang ibig sbihin ng kombinasyon ng putol-putol at solidng dilaw na linya?,Pinapayagan ang pag-overtake sa putol-putol na linya ngunit bawal sa solidong linya.
Ano ang ibig sbhin ng isang solidng dilaw o putng linya?,"Bawal ang pag-overtake, ngunit pinapayagan ang pagtawid."
Ano ang continity lnes?,Mas maikling linya na nagpapahiwatig na malapit nang matapos ang iyong lane o may paparating na hadlang.
Ano ang ibig sbihin ng continuity line sa iyog knan?,Ibig sabihin ay magpapatuloy ang iyong lane nang walang pagbabago.
Ano ang ibig sbihin ng continuity line sa iyog klwa?,Ibig sabihin ay papalapit ka sa isang hadlang o ibang direksyon.
Anong bils ang dapat panatlihin kapag pumapsok sa expressway?,Sundin ang bilis ng mga sasakyan na nasa expressway upang maiwasan ang aksidente.
Ano ang transion lnes?,Ginagabayan ng transition lines ang mga sasakyan sa mga hadlang gaya ng mga isla o poste ng tulay.
Ano ang giveaway lnes?,Ito ay mga putol-putol na puting linya sa kalsada na nagpapahiwatig na dapat magbigay-daan ang mga drayber sa paparating na trapiko.
Saan karniwang makikita ang giveaway lnes?,"Sa mga intersection, gilid na kalsada, o rotonda."
Sino ang may karapatng mauna sa rotonda?,Ang mga sasakyang nasa loob na ng rotonda ang may karapatang mauna.
Ano ang non-signlized pedstrian lanes?,Mga pedestrian lane na walang traffic light kung saan kailangang huminto ang mga drayber para sa mga pedestrian.
Ano ang signalzed pedstrian lanes?,Mga pedestrian lane na may traffic light na nagpapahiwatig kung kailan maaaring tumawid ang mga pedestrian.
Ano ang turn lnes?,Ang mga turn lines ay naggagabay sa mga sasakyan kapag lumiliko sa intersection.
Ano ang loading at unloadng bay lines?,Mga tuloy-tuloy na puting linya na nagpapakita kung saan maaaring maghintay at magsakay o magbaba ng pasahero ang mga pampublikong sasakyan.
Ano ang ibig sbhin ng dilaw na guhit sa parking arias?,"Ipinapakita nito kung saan dapat iparada ang mga sasakyan, lalo na ang mga espasyo para sa mga taong may kapansanan."
Maaari k bang magpark sa PWD parking spot kung ito n lang ang bakante?,"Hindi, dapat kang humanap ng ibang espasyo dahil nakalaan ito para sa mga taong may kapansanan."
Ano ang mga PUV lnies?,Mga lane na nakalaan para sa mga pampublikong sasakyan gaya ng mga bus at jeep.
Bakit espesyal ang pgkakabuo ng mga PUV lanes?,Ito ay espesyal na markado upang malinaw na maihiwalay mula sa mga lane para sa ibang sasakyan.
Ano ang approach markngs?,Ipinapakita na papalapit ka na sa isang hadlang gaya ng isla o median strip.
Ano ang rumble strs?,Ang rumble strips ay nag-aalerto sa mga drayber na maaaring nawawala ang pokus sa mahabang tuwid na kalsada.
Ano ang ibig sbhin ng mga chevron sa poste at mga traffic lights?,Ito ay nagsisilbing babala ng mga paparating na hadlang.
Ano ang ibig sbhin ng dilaw na curb?,Ipinagbabawal ang pagparada sa mga curb na may dilaw na pintura.
Ano ang ibig sbhin ng pulang curb?,Ipinagbabawal ang pagsakay o pagbaba ng pasahero.
Ano ang railrod crossing markngs?,Ito ay mga linya na may ‘RR’ at malaking X na nagbabala sa mga drayber na papalapit na sa riles ng tren.
Ano ang dpat gawin ng mga draybr kapag papalapit sa railroad crossing markings?,Huminto ng buo at mag-ingat para sa paparating na tren.
Ano ang fire lanes?,Ang fire lanes ay nakalaan para sa mga fire engine at bawal ang pagparada sa mga lugar na ito.
Bakit ang ilang pavement objcts ay gawa sa mtigas na plastik o semento?,Ginagamit ang mga bagay na ito para pansamantalang gabayan ang trapiko at ayusin ang paggalaw ng mga sasakyan.
Ano ang motorcycle at bike lanes?,Mga nakalaang lane para sa mga motorsiklo at bisikleta upang maiwasan ang palipat-lipat na lane maliban kung palabas.
Ano ang pavement arrows?,Mga puting arrow sa kalsada na gumagabay sa mga drayber sa tamang lane at direksyon.
Ano ang ibig sbhin ng speed limit pavement markng?,Ipinapakita nito ang pinakamataas na bilis na pinapayagan sa lugar na kailangang sundin nang mahigpit.
Ano ang cat's eye o road stud?,Isang reflective na aparato sa kalsada na tumutulong maghiwalay ng mga lane at nakikita sa gabi.
Bakit epektbo ang cat’s eyes sa gbi?,Sila ay nagre-reflect ng ilaw kaya’t mas nakikita ang mga guhit sa kalsada sa dilim.
Maaari bang huminto ang mga sasakyn ng mtgl sa glid ng kalsada?,"Hindi, ang gilid ng kalsada ay para lamang sa mga emergency stop."
Ano ang ibig sbhin ng transion lnes?,Ginagabayan nila ang mga sasakyan sa ligtas na paraan sa paligid ng mga hadlang o pagbabago ng lane.
Saan karniwang lmalabas ang transion lnes?,"Sa gilid ng mga isla, poste ng tulay, at kung saan lumalawak o sumisikip ang mga lane ng kalsada."
Ano ang median strip?,Isang tagahati sa gitna ng kalsada na naghihiwalay ng trapiko na magkasalungat ang direksyon.
Ano ang pngunahin tungkln ng roundabout?,Pinapayagan nito ang mga sasakyan na maayos na makatawid sa intersection nang walang traffic lights.
Ano ang holding liness?,Mga linya na nagpapahiwatig kung saan dapat huminto o magbigay-daan ang mga drayber sa iba pang sasakyan.
Ano ang tungkln ng stop sign sa holding line?,Nagpapahiwatig ito sa drayber na kailangan niyang huminto ng buo at magbigay-daan sa ibang trapiko.
Bakit mhaga ang stop lnes sa pedestrian crossings?,Tinitiyak nila na humihinto ang mga sasakyan sa ligtas na layo upang payagan ang mga pedestrian na tumawid.
Ano ang ipinagbbwal ng doble solidng dilaw na ln?,Bawal ang pag-overtake at pagtawid.
Ano ang ibig sbhn ng isang solidng dilw na ln?,"Bawal ang pag-overtake, ngunit pinapayagan ang pagtawid sa lane."
Ano ang kahhinatnan ng pag-overtk sa solidng dilaw na ln?,Ilegal ito at mapanganib dahil maaaring magdulot ito ng aksidente.
Bakit mhaga ang pedstrian lanes?,Nagbibigay ito ng nakalaang ligtas na lugar para sa mga pedestrian na tumawid sa kalsada.
Ano ang laynin ng solidng ptng stop line?,Ipinapakita nito kung saan dapat huminto ang mga sasakyan sa traffic lights o pedestrian crossings.
Paano nbb ang roundabout markngs sa regular na intersection markings?,Ang roundabout markings ay may holding lines upang ipakita kung saan dapat magbigay-daan ang mga sasakyan.
Bakit ipinagbbawal ang pag-overtake sa ilang kalsda?,Upang maiwasan ang mga aksidente sa mga kalsada kung saan limitado ang visibility o espasyo.
Ano ang pinpayagan ng putol-putl na putng lnya?,Pinapayagan nito ang mga sasakyan na magpalit ng lane o mag-overtake kapag ligtas.
Ano ang dpat mgawin kapag papalpt sa pedstrian lane?,Magbawas ng bilis at huminto kung may tumatawid na pedestrian.
Ano ang klgnan ng rumble strs?,Nag-aalerto sila sa mga drayber sa pamamagitan ng panginginig na maaaring nawawalan ng pokus.
Ano ang ibig sbhin ng dilw na ln sa parking sps?,Nagpapakita ito ng nakatalagang mga lugar ng paradahan at hindi dapat gamitin para sa matagal na pagparada.
Paano m mkkilala ang lane para sa mga pampublikong sasakyan?,Tingnan ang mga marka sa kalsada na nagsasabing 'PUJ Lane' o 'Bus Lane.'
Ano ang dpat mong gwn kapag nagnmaneho mlt sa bus lane?,Iwasang magmaneho sa bus lane at bigyang-priyoridad ang mga bus.
Bakit mhga ang continity lines?,Binabalaan nila ang mga drayber ng mga paparating na pagsanib ng lane o pagtigil ng lane.
Ano ang lynn ng loading at unloadng bay ln?,Pinapayagan nito ang mga pampublikong sasakyan na ligtas na magsakay at magbaba ng pasahero.
Paano nktlong ang mga guhit sa klsda sa klgtsan?,"Nagbibigay sila ng malinaw na gabay para sa paggamit ng lane, pagliko, paghinto, at pag-overtake."
Bakit hd dpat magpark sa fire ln?,Ang mga fire lane ay dapat palaging malaya para sa mga sasakyang pang-emerhensiya tulad ng mga fire truck.
Ano ang ibig sbhn ng isang ptol-putlng lnya?,Pinapayagan nito ang mga sasakyan na magpalit ng lane o mag-overtake kapag ligtas.
Ano ang ibig sbhin ng solidng ptng lnya sa klsda?,Ipinapahiwatig nito na hindi pinapayagan ang pagpapalit ng lane o discouraged ito.
Bakit nire-repaint ang mga guhit sa klsda?,Upang matiyak na nananatili silang nakikita at patuloy na nagbibigay ng gabay para sa ligtas na pagmamaneho.
Ano ang pkkaiba ng ptol-putl at solidng lnya?,"Ang putol-putol na linya ay pinapayagan ang pag-overtake o pagpapalit ng lane, habang ang solidong linya ay naglilimita nito."
Bakit may ibt-ibng kulr ang mga guhit sa klsda?,"Nagbibigay ng espesipikong impormasyon ang iba't ibang kulay; halimbawa, ang dilaw ay naghihiwalay sa direksyon ng trapiko, habang ang puti ay naghihiwalay ng mga lane."
Bakit my mga guhit sa klsda para sa speed lmits?,Ang mga guhit na ito ay nagpapaalala sa mga drayber ng bilis na hindi dapat lampasan para sa kaligtasan.
Ano ang pngunhin laynn ng rumble strip?,Upang alertuhan ang mga inattentive o inaantok na drayber sa pamamagitan ng paglikha ng panginginig.
Paano nagtutulungan ang pedstrian lanes at stop lnes?,Tinitiyak ng stop line na humihinto ang mga sasakyan sa ligtas na layo mula sa pedestrian lane.
Bakit dpat mgbgay-pns ang mga drayber sa markngs ng mga isla?,Nakakatulong sila sa pag-iwas sa banggaan sa mga hadlang at gumagabay sa ligtas na pagpapalit ng lane.
Ano ang mga pnganib ng hd pagsnod sa mga guhit sa klsda?,Ang pagwawalang-bahala sa mga guhit ay maaaring magdulot ng aksidente at paglabag sa batas.
What should you do if your signal lights are busted?,Use hand signals as an alternative for indicating turns or stops.
When should you use hand signals?,Hand signals are used when your vehicle's signal lights are not working.
Which hand is used for hand signals in the Philippines?,The left hand is used for hand signals in the Philippines because we are left-hand drivers.
Can hand signals be used on motorcycles?,"Yes, hand signals can be used on motorcycles, but it requires balancing the motorcycle with one hand."
What does it mean when a driver extends their left arm straight out of the window?,It means the driver is turning left.
How do you indicate a left turn with hand signals?,Extend your left arm straight out of the vehicle with the palm facing down.
How do you signal a right turn using hand signals?,"Raise your left hand with the arm bent at the elbow, forming a right angle."
What does it mean when a driver raises their left hand at a right angle?,It means the driver is turning right.
How do you signal slowing down or stopping using hand signals?,Extend your left arm out the window and point it downwards.
What is the importance of hand signals while driving?,Hand signals communicate your intentions to other drivers when your vehicle's signal lights are not working.
